8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0.483,0.483,0.008,0.008
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0.444,0.444,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.54,0.55,0.55,0.01,0.01
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.553,0.55,0.55,0.003,0.003
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0.237,0.237,0.01,0.01
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.483,0.483,0.007,0.007
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0.483,0.483,0.001,0.001
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.265,0.265,0.003,0.003
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482,0.483,0.483,0.001,0.001
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.25,0.25,0.008,0.008
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0.444,0.444,0.004,0.004
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.803,0.795,0.795,0.008,0.008
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.522,0.53,0.53,0.008,0.008
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.186,0.196,0.196,0.01,0.01
1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.34,0.34,0.267,0.073,9.99E-16
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477,0.483,0.483,0.006,0.006
1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.535,0.534,0.534,0.001,0.001
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.218,0.22,0.22,0.002,0.002
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.71,0.704,0.704,0.006,0.006
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0.535,0.535,0.001,0.001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.496,0.496,0.006,0.006
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0.535,0.535,0.001,0.001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.496,0.496,0.001,0.001
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,0.704,0.704,0.004,0.004
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.724,0.724,0.006,0.006
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528,0.535,0.535,0.007,0.007
0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0.534,0.531,0.458,0.076,0.003
1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0.395,0.392,0.351,0.044,0.003
0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0.508,0.507,0.434,0.074,0.001
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,0.444,0.444,0.009,0.009
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.229,0.22,0.22,0.009,0.009
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.237,0.237,0.004,0.004
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.608,0.616,0.616,0.008,0.008
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543,0.535,0.535,0.008,0.008
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.246,0.248,0.248,0.002,0.002
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.746,0.743,0.743,0.003,0.003
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.724,0.724,0.006,0.006
1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.545,0.554,0.554,0.009,0.009
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543,0.535,0.535,0.008,0.008
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.822,0.83,0.81,0.012,0.008
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0.496,0.496,0.005,0.005
0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.454,0.463,0.463,0.009,0.009
1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0.583,0.581,0.488,0.095,0.002
